id,currency,ratedate,buyingrate,centralrate,sellingrate,scrape_date
60097,US DOLLAR,2025-10-24,1456.9571,1457.4571,1457.9571,2025-10-31
60100,YUAN/RENMINBI,2025-10-27,204.1646,204.2349,204.3053,2025-10-31
60102,EURO,2025-10-27,1689.5982,1690.1801,1690.7620,2025-10-31
60103,YEN,2025-10-27,9.4851,9.4884,9.4917,2025-10-31
60104,RIYAL,2025-10-27,387.1245,387.2578,387.3912,2025-10-31
60108,POUNDS STERLING,2025-10-27,1935.3870,1936.0535,1936.7201,2025-10-31
60109,US DOLLAR,2025-10-27,1451.7943,1452.2943,1452.7943,2025-10-31
60112,YUAN/RENMINBI,2025-10-28,203.7542,203.8246,203.8950,2025-10-31
60114,EURO,2025-10-28,1684.2572,1684.8391,1685.4210,2025-10-31
60115,YEN,2025-10-28,9.5036,9.5069,9.5101,2025-10-31
60116,RIYAL,2025-10-28,385.9008,386.0341,386.1674,2025-10-31
60120,POUNDS STERLING,2025-10-28,1918.1255,1918.7882,1919.4509,2025-10-31
60121,US DOLLAR,2025-10-28,1447.2050,1447.7050,1448.2050,2025-10-31
60124,YUAN/RENMINBI,2025-10-29,203.3189,203.3893,203.4598,2025-10-31
60126,EURO,2025-10-29,1679.9989,1680.5808,1681.1628,2025-10-31
60127,YEN,2025-10-29,9.4931,9.4964,9.4997,2025-10-31
60128,RIYAL,2025-10-29,384.8817,385.0151,385.1484,2025-10-31
60132,POUNDS STERLING,2025-10-29,1907.7709,1908.4317,1909.0926,2025-10-31
60133,US DOLLAR,2025-10-29,1443.4220,1443.9220,1444.4220,2025-10-31
60136,YUAN/RENMINBI,2025-10-30,201.8797,201.9500,202.0203,2025-10-31
60138,EURO,2025-10-30,1663.4278,1664.0070,1664.5862,2025-10-31
60139,YEN,2025-10-30,9.3178,9.3211,9.3243,2025-10-31
60140,RIYAL,2025-10-30,382.8947,383.0281,383.1614,2025-10-31
60145,POUNDS STERLING,2025-10-30,1891.4598,1892.1184,1892.7770,2025-10-31
60146,US DOLLAR,2025-10-30,1435.9701,1436.4701,1436.9701,2025-10-31
