currencies,Buy,Sell,Scrape_time
Euro,55.2373,55.357,2025-10-11
Pound Sterling,63.6597,63.8112,2025-10-11
Swiss Franc,59.3722,59.5181,2025-10-11
Japanese Yen 100,31.1031,31.1698,2025-10-11
Saudi Riyal,12.6636,12.6906,2025-10-11
Kuwaiti Dinar,155.4695,155.8441,2025-10-11
UAE Dirham,12.9329,12.9605,2025-10-11
Chinese yuan,6.6718,6.6867,2025-10-11
US Dollar,47.5037,47.6026,2025-10-12
Euro,55.2373,55.357,2025-10-12
Pound Sterling,63.6597,63.8112,2025-10-12
Swiss Franc,59.3722,59.5181,2025-10-12
Japanese Yen 100,31.1031,31.1698,2025-10-12
Saudi Riyal,12.6636,12.6906,2025-10-12
Kuwaiti Dinar,155.4695,155.8441,2025-10-12
UAE Dirham,12.9329,12.9605,2025-10-12
Chinese yuan,6.6718,6.6867,2025-10-12
US Dollar,47.8359,47.9359,2025-10-13
Euro,55.5757,55.7111,2025-10-13
Pound Sterling,63.8992,64.0471,2025-10-13
Swiss Franc,59.8397,60.0024,2025-10-13
Japanese Yen 100,31.6375,31.7141,2025-10-13
Saudi Riyal,12.7542,12.7815,2025-10-13
Kuwaiti Dinar,156.5566,156.9353,2025-10-13
UAE Dirham,13.024,13.053,2025-10-13
Chinese yuan,6.7029,6.7194,2025-10-13
US Dollar,47.6562,47.7562,2025-10-14
Euro,55.1954,55.316,2025-10-14
Pound Sterling,63.5638,63.702,2025-10-14
Swiss Franc,59.296,59.4426,2025-10-14
Japanese Yen 100,31.3383,31.4061,2025-10-14
Saudi Riyal,12.707,12.7343,2025-10-14
Kuwaiti Dinar,155.2976,155.6641,2025-10-14
UAE Dirham,12.9744,13.0023,2025-10-14
Chinese yuan,6.6819,6.696,2025-10-14
US Dollar,47.6621,47.7609,2025-10-15
Euro,55.0735,55.1925,2025-10-15
Pound Sterling,63.2237,63.3596,2025-10-15
Swiss Franc,59.237,59.3967,2025-10-15
Japanese Yen 100,31.3381,31.4113,2025-10-15
Saudi Riyal,12.7085,12.7356,2025-10-15
Kuwaiti Dinar,155.2156,155.578,2025-10-15
UAE Dirham,12.9756,13.0036,2025-10-15
Chinese yuan,6.6749,6.6899,2025-10-15
US Dollar,47.5947,47.6947,2025-10-16
Euro,55.3336,55.4594,2025-10-16
Pound Sterling,63.5532,63.7058,2025-10-16
Swiss Franc,59.4414,59.596,2025-10-16
Japanese Yen 100,31.4281,31.5024,2025-10-16
Saudi Riyal,12.6902,12.7176,2025-10-16
Kuwaiti Dinar,155.0114,155.413,2025-10-16
UAE Dirham,12.9576,12.9856,2025-10-16
