currencies,Buy,Sell,Scrape_time
Euro,55.1457,55.2711,2025-11-28
Pound Sterling,62.9754,63.1173,2025-11-28
Swiss Franc,59.0605,59.2066,2025-11-28
Japanese Yen 100,30.4522,30.5182,2025-11-28
Saudi Riyal,12.6874,12.7154,2025-11-28
Kuwaiti Dinar,155.0336,155.4099,2025-11-28
UAE Dirham,12.9586,12.9872,2025-11-28
Chinese yuan,6.7194,6.7337,2025-11-28
US Dollar,47.5969,47.6969,2025-11-29
Euro,55.1457,55.2711,2025-11-29
Pound Sterling,62.9754,63.1173,2025-11-29
Swiss Franc,59.0605,59.2066,2025-11-29
Japanese Yen 100,30.4522,30.5182,2025-11-29
Saudi Riyal,12.6874,12.7154,2025-11-29
Kuwaiti Dinar,155.0336,155.4099,2025-11-29
UAE Dirham,12.9586,12.9872,2025-11-29
Chinese yuan,6.7194,6.7337,2025-11-29
US Dollar,47.5969,47.6969,2025-11-30
Euro,55.1457,55.2711,2025-11-30
Pound Sterling,62.9754,63.1173,2025-11-30
Swiss Franc,59.0605,59.2066,2025-11-30
Japanese Yen 100,30.4522,30.5182,2025-11-30
Saudi Riyal,12.6874,12.7154,2025-11-30
Kuwaiti Dinar,155.0336,155.4099,2025-11-30
UAE Dirham,12.9586,12.9872,2025-11-30
Chinese yuan,6.7194,6.7337,2025-11-30
US Dollar,47.5321,47.6321,2025-12-01
Euro,55.1134,55.2389,2025-12-01
Pound Sterling,62.9134,63.0601,2025-12-01
Swiss Franc,59.1342,59.266,2025-12-01
Japanese Yen 100,30.4303,30.504,2025-12-01
Saudi Riyal,12.6698,12.6975,2025-12-01
Kuwaiti Dinar,154.8427,155.219,2025-12-01
UAE Dirham,12.9402,12.9685,2025-12-01
Chinese yuan,6.7178,6.7324,2025-12-01
US Dollar,47.4788,47.5788,2025-12-02
Euro,55.2369,55.358,2025-12-02
Pound Sterling,62.8999,63.0372,2025-12-02
Swiss Franc,59.1784,59.3252,2025-12-02
Japanese Yen 100,30.6236,30.6921,2025-12-02
Saudi Riyal,12.6512,12.6786,2025-12-02
Kuwaiti Dinar,154.6088,155.091,2025-12-02
UAE Dirham,12.9261,12.9547,2025-12-02
Chinese yuan,6.7138,6.7281,2025-12-02
US Dollar,47.4637,47.5629,2025-12-03
Euro,55.1196,55.2444,2025-12-03
Pound Sterling,62.6758,62.8116,2025-12-03
Swiss Franc,58.9904,59.1285,2025-12-03
Japanese Yen 100,30.4254,30.4969,2025-12-03
Saudi Riyal,12.6438,12.6709,2025-12-03
Kuwaiti Dinar,154.4639,154.9433,2025-12-03
UAE Dirham,12.922,12.9504,2025-12-03
Chinese yuan,6.7121,6.7265,2025-12-03
US Dollar,47.5409,47.6394,2025-12-04
Euro,55.4659,55.5857,2025-12-04
Pound Sterling,63.2246,63.3604,2025-12-04
Swiss Franc,59.3964,59.5418,2025-12-04
Japanese Yen 100,30.5945,30.6599,2025-12-04
Saudi Riyal,12.6671,12.6954,2025-12-04
Kuwaiti Dinar,154.9067,155.2785,2025-12-04
UAE Dirham,12.943,12.9712,2025-12-04
Chinese yuan,6.7301,6.7443,2025-12-04
US Dollar,47.5123,47.6114,2025-12-05
Euro,55.4801,55.6053,2025-12-05
Pound Sterling,63.4669,63.604,2025-12-05
Swiss Franc,59.3978,59.5291,2025-12-05
Japanese Yen 100,30.7423,30.8084,2025-12-05
Saudi Riyal,12.6598,12.6869,2025-12-05
Kuwaiti Dinar,154.8035,155.1768,2025-12-05
UAE Dirham,12.9356,12.9636,2025-12-05
Chinese yuan,6.7185,6.7329,2025-12-05
US Dollar,47.5123,47.6114,2025-12-06
Euro,55.4801,55.6053,2025-12-06
Pound Sterling,63.4669,63.604,2025-12-06
Swiss Franc,59.3978,59.5291,2025-12-06
Japanese Yen 100,30.7423,30.8084,2025-12-06
Saudi Riyal,12.6598,12.6869,2025-12-06
Kuwaiti Dinar,154.8035,155.1768,2025-12-06
UAE Dirham,12.9356,12.9636,2025-12-06
Chinese yuan,6.7185,6.7329,2025-12-06
